"filename", "language", "TypeScript", "JSON", "JSON with Comments", "YAML", "HTML", "Markdown", "Python", "pip requirements", "JavaScript", "Rust", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\Ryan\Documents\SpEd Packet Studio\README.md", "Markdown", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 15, 57
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\__main__.py", "Python", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\api\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\api\router.py", "Python", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\api\routes\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\api\routes\health.py", "Python", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\api\routes\projects.py", "Python", 0, 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 33, 144
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\config.py", "Python", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\database\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\database\base.py", "Python", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\database\initialize.py", "Python", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\database\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\database\migrations\runner.py", "Python", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\database\migrations\versions\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\database\migrations\versions\v0001_initial.py", "Python", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\database\migrations\versions\v0002_sprint_one.py", "Python", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 7, 29
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\database\migrations\versions\v0003_goal_summary.py", "Python", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\database\session.py", "Python", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\generators\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\generators\pdf.py", "Python", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 7, 27
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\main.py", "Python", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\models\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\models\domain.py", "Python", 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 15, 101
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\models\mixins.py", "Python", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\schemas\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\schemas\projects.py", "Python", 0, 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 60, 214
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\schemas\system.py", "Python", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\services\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\services\autosave.py", "Python", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 1, 18
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\services\projects.py", "Python", 0, 0, 0, 0, 0, 0, 1317, 0, 0, 0, 0, 0, 237, 109, 1663
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\tests\test_projects.py", "Python", 0, 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 0, 0, 14, 201
"c:\Users\Ryan\Documents\SpEd Packet Studio\index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Ryan\Documents\SpEd Packet Studio\package.json", "JSON", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\Ryan\Documents\SpEd Packet Studio\pnpm-lock.yaml", "YAML", 0, 0, 0, 1256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 340, 1596
"c:\Users\Ryan\Documents\SpEd Packet Studio\pnpm-workspace.yaml", "YAML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Ryan\Documents\SpEd Packet Studio\scripts\dev.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 3, 36
"c:\Users\Ryan\Documents\SpEd Packet Studio\src-tauri\build.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\Ryan\Documents\SpEd Packet Studio\src-tauri\capabilities\default.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Ryan\Documents\SpEd Packet Studio\src-tauri\gen\schemas\acl-manifests.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Ryan\Documents\SpEd Packet Studio\src-tauri\gen\schemas\capabilities.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Ryan\Documents\SpEd Packet Studio\src-tauri\gen\schemas\desktop-schema.json", "JSON", 0, 2292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2292
"c:\Users\Ryan\Documents\SpEd Packet Studio\src-tauri\gen\schemas\windows-schema.json", "JSON", 0, 2292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2292
"c:\Users\Ryan\Documents\SpEd Packet Studio\src-tauri\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 6, 42
"c:\Users\Ryan\Documents\SpEd Packet Studio\src-tauri\src\main.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\Ryan\Documents\SpEd Packet Studio\src-tauri\tauri.conf.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Ryan\Documents\SpEd Packet Studio\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 200, 0, 0, 8, 208
"c:\Users\Ryan\Documents\SpEd Packet Studio\src\components\system\StatusBadge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\Ryan\Documents\SpEd Packet Studio\src\components\system\SystemCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Ryan\Documents\SpEd Packet Studio\src\components\ui\Button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 5, 37
"c:\Users\Ryan\Documents\SpEd Packet Studio\src\components\ui\Card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 3, 40
"c:\Users\Ryan\Documents\SpEd Packet Studio\src\components\ui\FormField.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 7, 51
"c:\Users\Ryan\Documents\SpEd Packet Studio\src\components\workflow\SaveStatus.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 3, 25
"c:\Users\Ryan\Documents\SpEd Packet Studio\src\components\workflow\ValidationSummary.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 2, 28
"c:\Users\Ryan\Documents\SpEd Packet Studio\src\components\workflow\WorkflowHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 2, 38
"c:\Users\Ryan\Documents\SpEd Packet Studio\src\hooks\useAutosave.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\Ryan\Documents\SpEd Packet Studio\src\hooks\useSystemHealth.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Ryan\Documents\SpEd Packet Studio\src\layouts\AppShell.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 3, 39
"c:\Users\Ryan\Documents\SpEd Packet Studio\src\lib\validation.ts", "TypeScript", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 111
"c:\Users\Ryan\Documents\SpEd Packet Studio\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\Ryan\Documents\SpEd Packet Studio\src\navigation\navigation.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Ryan\Documents\SpEd Packet Studio\src\pages\AtAGlancePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 0, 0, 15, 184
"c:\Users\Ryan\Documents\SpEd Packet Studio\src\pages\DashboardPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 210, 0, 0, 14, 224
"c:\Users\Ryan\Documents\SpEd Packet Studio\src\pages\DataSheetBuilderPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 501, 0, 0, 26, 527
"c:\Users\Ryan\Documents\SpEd Packet Studio\src\pages\FoundationPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 1, 17
"c:\Users\Ryan\Documents\SpEd Packet Studio\src\pages\GoalBuilderPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 272, 0, 0, 17, 289
"c:\Users\Ryan\Documents\SpEd Packet Studio\src\pages\PacketDesignerPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 279, 0, 0, 19, 298
"c:\Users\Ryan\Documents\SpEd Packet Studio\src\pages\ReviewExportPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 279, 0, 0, 19, 298
"c:\Users\Ryan\Documents\SpEd Packet Studio\src\pages\StudentSetupPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 363, 0, 0, 26, 389
"c:\Users\Ryan\Documents\SpEd Packet Studio\src\services\api\client.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 52
"c:\Users\Ryan\Documents\SpEd Packet Studio\src\services\api\projects.ts", "TypeScript", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 138
"c:\Users\Ryan\Documents\SpEd Packet Studio\src\services\api\system.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Ryan\Documents\SpEd Packet Studio\src\styles.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 2, 18
"c:\Users\Ryan\Documents\SpEd Packet Studio\src\themes\ThemeProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\Ryan\Documents\SpEd Packet Studio\src\themes\theme.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Ryan\Documents\SpEd Packet Studio\src\types\navigation.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Ryan\Documents\SpEd Packet Studio\src\types\projects.ts", "TypeScript", 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 158
"c:\Users\Ryan\Documents\SpEd Packet Studio\src\types\system.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Ryan\Documents\SpEd Packet Studio\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Ryan\Documents\SpEd Packet Studio\themes\README.md", "Markdown", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\Ryan\Documents\SpEd Packet Studio\tsconfig.app.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Ryan\Documents\SpEd Packet Studio\tsconfig.json", "JSON with Comments", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Ryan\Documents\SpEd Packet Studio\tsconfig.node.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Ryan\Documents\SpEd Packet Studio\vite.config.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"Total", "-", 499, 4658, 1, 1260, 13, 44, 2070, 4, 33, 38, 2543, 16, 249, 894, 12322